date,day_idx,store_id,sku_id,day_of_week,is_weekend,temperature_c,is_tet_period,opening_stock,units_sold,lost_sales,closing_stock,units_received,promo
2024-07-17,43,1,8,2,0,26.0,0,222,29,0.0,193,0,0
2024-07-18,44,1,8,3,0,28.6,0,193,42,0.0,151,0,0
2024-06-04,0,1,9,1,0,29.9,0,15,23,0.0,19,27,0
2024-06-05,1,1,9,2,0,30.0,0,19,24,0.0,18,23,0
2024-06-06,2,1,9,3,0,27.6,0,18,13,0.0,29,24,0
2024-06-07,3,1,9,4,0,30.6,0,29,27,0.0,15,13,0
2024-06-08,4,1,9,5,1,28.7,0,15,14,0.0,28,27,0
2024-06-09,5,1,9,6,1,22.7,0,28,18,0.0,24,14,0
2024-06-10,6,1,9,0,0,27.9,0,24,24,0.0,18,18,0
2024-06-11,7,1,9,1,0,27.6,0,18,22,0.0,20,24,0
2024-06-12,8,1,9,2,0,26.3,0,20,22,0.0,20,22,0
2024-06-13,9,1,9,3,0,27.7,0,20,19,0.0,23,22,0
2024-06-14,10,1,9,4,0,27.5,0,23,21,0.0,21,19,0
